Umrli po dnevu smrti, Slovenija, mesečno

"MESEC,""1"",""2"",""3"",""4"",""5"",""6"",""7"",""8"",""9"",""10"",""11"",""12"",""13"",""14"",""15"",""16"",""17"",""18"",""19"",""20"",""21"",""22"",""23"",""24"",""25"",""26"",""27"",""28"",""29"",""30"",""31"""
2010M01,54,39,57,63,48,53,53,49,49,49,51,44,44,47,44,44,47,54,37,50,46,57,53,40,64,47,45,58,49,53,60
2010M02,56,49,62,62,58,47,61,70,49,51,46,41,49,46,45,64,50,64,56,51,44,74,70,55,52,67,64,62,-,-,-
2010M03,50,53,45,49,64,56,53,44,54,62,46,47,61,59,56,62,45,50,54,45,45,50,65,52,43,43,50,55,46,52,48
2010M04,59,60,39,45,46,54,48,59,48,48,51,54,55,72,58,51,48,47,66,41,53,53,49,51,46,67,46,70,46,57,-
2010M05,72,50,34,52,49,52,61,43,57,56,54,49,47,49,37,56,54,48,48,46,44,55,51,57,45,41,45,45,50,46,45
2010M06,53,44,41,57,58,64,59,53,53,45,60,60,55,56,65,53,43,43,33,38,43,41,42,62,43,44,40,54,52,49,-
2010M07,48,60,52,56,54,47,53,41,47,58,51,49,49,57,53,51,66,54,58,54,46,32,51,54,45,47,42,43,46,43,38
2010M08,55,50,50,39,46,39,38,61,54,46,43,38,46,59,49,40,49,46,40,37,45,37,59,42,42,40,53,43,33,42,47
2010M09,46,54,43,53,43,48,49,51,43,50,56,47,52,43,49,51,47,45,62,42,48,63,47,71,61,54,58,58,41,63,-
2010M10,40,51,40,50,31,43,43,50,54,57,62,49,50,53,49,48,51,60,50,56,56,54,53,60,63,49,58,43,53,58,60
2010M11,57,56,46,36,57,50,53,57,49,36,47,48,47,49,63,48,38,64,51,41,36,54,53,50,52,46,55,51,59,58,-
2010M12,49,46,49,58,50,49,41,45,47,51,59,43,53,60,48,56,60,65,64,56,58,65,67,73,51,51,45,57,41,57,58
2011M01,39,57,58,67,66,45,39,54,55,64,74,68,52,66,60,49,49,55,57,54,55,80,59,54,58,51,63,54,62,67,53
2011M02,62,61,53,65,47,54,61,51,54,45,62,52,49,65,65,50,57,59,64,51,56,56,44,56,64,61,51,59,-,-,-
2011M03,47,61,50,53,60,42,63,72,56,49,58,48,59,55,64,46,55,45,57,56,52,45,58,50,57,60,55,44,45,68,52
2011M04,52,45,54,44,58,40,45,61,50,50,51,51,46,46,51,55,43,53,51,63,50,58,31,67,57,50,56,48,52,51,-
2011M05,48,54,57,59,54,44,45,57,46,52,48,59,44,48,56,39,40,54,49,46,45,44,41,46,52,60,45,39,45,38,52
