"Umrli (15 let ali veè) po starostnih skupinah, spolu in izobrazbi, Slovenija, letno"

"LETO","SPOL","STAROSTNE SKUPINE","Brez izobrazbe, nepopolna osnovnošolska","Osnovnošolska","Srednješolska","Višješolska, visokošolska","Neznano"
"2010","Moški","15-19 let",0,17,1,0,1
"2010","Moški","20-24 let",3,31,17,0,1
"2010","Moški","25-29 let",3,18,28,1,0
"2010","Moški","30-34 let",5,17,52,7,0
"2010","Moški","35-39 let",7,19,52,9,0
"2010","Moški","40-44 let",11,47,101,9,1
"2010","Moški","45-49 let",21,82,156,16,1
"2010","Moški","50-54 let",71,107,261,37,0
"2010","Moški","55-59 let",156,186,377,53,8
"2010","Moški","60-64 let",161,154,443,56,14
"2010","Moški","65-69 let",214,138,460,71,10
"2010","Moški","70-74 let",364,191,603,101,18
"2010","Moški","75-79 let",442,251,663,130,12
"2010","Moški","80-84 let",290,329,655,173,11
"2010","Moški","85 + let",195,321,560,221,14
"2010","Ženske","15-19 let",0,6,0,0,2
"2010","Ženske","20-24 let",1,7,0,0,0
"2010","Ženske","25-29 let",0,2,7,0,0
"2010","Ženske","30-34 let",1,2,15,12,0
"2010","Ženske","35-39 let",5,9,21,4,0
"2010","Ženske","40-44 let",0,18,36,15,3
"2010","Ženske","45-49 let",10,45,53,10,2
"2010","Ženske","50-54 let",25,68,91,17,1
"2010","Ženske","55-59 let",63,89,129,19,1
"2010","Ženske","60-64 let",71,98,122,26,5
"2010","Ženske","65-69 let",128,156,157,33,6
"2010","Ženske","70-74 let",246,284,167,41,2
"2010","Ženske","75-79 let",454,533,325,44,16
"2010","Ženske","80-84 let",463,963,502,67,13
"2010","Ženske","85 + let",728,1779,889,117,39
"2011","Moški","15-19 let",0,19,3,0,0
"2011","Moški","20-24 let",1,14,27,2,0
"2011","Moški","25-29 let",4,13,25,2,0
"2011","Moški","30-34 let",2,24,40,7,0
"2011","Moški","35-39 let",3,27,38,14,0
"2011","Moški","40-44 let",11,47,98,15,0
"2011","Moški","45-49 let",5,76,158,11,0
"2011","Moški","50-54 let",24,113,235,40,0
"2011","Moški","55-59 let",53,236,385,54,0
"2011","Moški","60-64 let",62,225,466,79,0
"2011","Moški","65-69 let",84,216,504,88,0
