"";"spol";"starostne.skupine";"leto";"vzrok";"stevilo.umrlih"
"1";"M";"0-9";2010;"transportne.nezgode";1
"2";"M";"0-9";2010;"padci";0
"3";"M";"0-9";2010;"druge.nezgode";2
"4";"M";"0-9";2010;"samomori";0
"5";"M";"0-9";2011;"transportne.nezgode";3
"6";"M";"0-9";2011;"padci";1
"7";"M";"0-9";2011;"druge.nezgode";5
"8";"M";"0-9";2011;"samomori";0
"9";"M";"0-9";2012;"transportne.nezgode";1
"10";"M";"0-9";2012;"padci";0
"11";"M";"0-9";2012;"druge.nezgode";1
"12";"M";"0-9";2012;"samomori";0
"13";"M";"0-9";2013;"transportne.nezgode";1
"14";"M";"0-9";2013;"padci";0
"15";"M";"0-9";2013;"druge.nezgode";1
"16";"M";"0-9";2013;"samomori";0
"17";"M";"0-9";2014;"transportne.nezgode";1
"18";"M";"0-9";2014;"padci";0
"19";"M";"0-9";2014;"druge.nezgode";0
"20";"M";"0-9";2014;"samomori";0
"21";"M";"0-9";2015;"transportne.nezgode";2
"22";"M";"0-9";2015;"padci";0
"23";"M";"0-9";2015;"druge.nezgode";0
"24";"M";"0-9";2015;"samomori";0
"25";"M";"0-9";2016;"transportne.nezgode";1
"26";"M";"0-9";2016;"padci";0
"27";"M";"0-9";2016;"druge.nezgode";0
"28";"M";"0-9";2016;"samomori";0
"29";"M";"0-9";2017;"transportne.nezgode";1
"30";"M";"0-9";2017;"padci";1
"31";"M";"0-9";2017;"druge.nezgode";1
"32";"M";"0-9";2017;"samomori";0
"33";"M";"0-9";2018;"transportne.nezgode";0
"34";"M";"0-9";2018;"padci";0
"35";"M";"0-9";2018;"druge.nezgode";0
"36";"M";"0-9";2018;"samomori";0
"37";"M";"0-9";2019;"transportne.nezgode";0
"38";"M";"0-9";2019;"padci";0
"39";"M";"0-9";2019;"druge.nezgode";2
"40";"M";"0-9";2019;"samomori";0
"41";"M";"0-9";2020;"transportne.nezgode";1
"42";"M";"0-9";2020;"padci";0
"43";"M";"0-9";2020;"druge.nezgode";1
"44";"M";"0-9";2020;"samomori";0
"45";"M";"10-19";2010;"transportne.nezgode";3
"46";"M";"10-19";2010;"padci";0
"47";"M";"10-19";2010;"druge.nezgode";2
"48";"M";"10-19";2010;"samomori";11
"49";"M";"10-19";2011;"transportne.nezgode";7
"50";"M";"10-19";2011;"padci";2
"51";"M";"10-19";2011;"druge.nezgode";5
"52";"M";"10-19";2011;"samomori";8
"53";"M";"10-19";2012;"transportne.nezgode";6
"54";"M";"10-19";2012;"padci";3
"55";"M";"10-19";2012;"druge.nezgode";1
"56";"M";"10-19";2012;"samomori";0
"57";"M";"10-19";2013;"transportne.nezgode";7
"58";"M";"10-19";2013;"padci";0
"59";"M";"10-19";2013;"druge.nezgode";0
"60";"M";"10-19";2013;"samomori";6
"61";"M";"10-19";2014;"transportne.nezgode";3
"62";"M";"10-19";2014;"padci";1
"63";"M";"10-19";2014;"druge.nezgode";2
"64";"M";"10-19";2014;"samomori";6
"65";"M";"10-19";2015;"transportne.nezgode";8
"66";"M";"10-19";2015;"padci";0
"67";"M";"10-19";2015;"druge.nezgode";5
"68";"M";"10-19";2015;"samomori";4
"69";"M";"10-19";2016;"transportne.nezgode";9
"70";"M";"10-19";2016;"padci";3
"71";"M";"10-19";2016;"druge.nezgode";4
"72";"M";"10-19";2016;"samomori";8
"73";"M";"10-19";2017;"transportne.nezgode";5
"74";"M";"10-19";2017;"padci";0
"75";"M";"10-19";2017;"druge.nezgode";1
"76";"M";"10-19";2017;"samomori";4
"77";"M";"10-19";2018;"transportne.nezgode";7
"78";"M";"10-19";2018;"padci";0
"79";"M";"10-19";2018;"druge.nezgode";3
"80";"M";"10-19";2018;"samomori";9
"81";"M";"10-19";2019;"transportne.nezgode";8
"82";"M";"10-19";2019;"padci";0
"83";"M";"10-19";2019;"druge.nezgode";3
"84";"M";"10-19";2019;"samomori";5
"85";"M";"10-19";2020;"transportne.nezgode";4
"86";"M";"10-19";2020;"padci";0
"87";"M";"10-19";2020;"druge.nezgode";2
