"Osnovni podatki o umrlih po spolu, obèine, Slovenija, letno"

"OBÈINE","2015 Umrli Moški","2015 Umrli Ženske","2016 Umrli Moški","2016 Umrli Ženske","2017 Umrli Moški","2017 Umrli Ženske","2018 Umrli Moški","2018 Umrli Ženske","2019 Umrli Moški","2019 Umrli Ženske","2020 Umrli Moški","2020 Umrli Ženske"
"SLOVENIJA",9739,10095,9673,10016,10136,10373,10113,10372,10112,10476,11733,12283
"Ajdovšèina",73,93,93,96,90,90,103,88,93,95,95,90
"Ankaran/Ancarano",10,11,10,12,15,10,10,11,14,7,18,13
"Apaèe",20,21,19,18,14,18,18,21,10,20,20,12
"Beltinci",33,46,41,42,48,37,61,42,43,42,58,54
"Benedikt",7,8,12,5,9,8,15,15,12,17,15,9
"Bistrica ob Sotli",6,14,10,4,7,8,7,8,8,7,7,10
"Bled",41,31,39,26,49,48,35,33,24,39,49,46
"Bloke",16,2,12,7,7,6,14,5,2,9,6,3
"Bohinj",33,35,35,25,23,36,32,38,31,46,29,48
"Borovnica",12,12,8,13,22,8,15,14,10,20,21,12
"Bovec",18,11,19,18,19,17,21,16,17,15,15,17
"Braslovèe",20,20,17,24,20,22,23,23,22,14,32,21
"Brda",33,47,36,55,33,55,29,38,34,41,33,57
"Brezovica",63,62,55,62,56,75,50,62,77,65,66,69
"Brežice",132,143,141,137,138,124,138,135,123,132,141,156
"Cankova",7,14,15,9,10,12,12,9,5,9,6,7
"Celje",214,211,222,196,228,229,246,212,243,235,292,250
"Cerklje na Gorenjskem",29,27,31,41,39,40,41,46,42,43,53,51
"Cerknica",59,63,66,72,54,62,63,71,55,89,80,71
"Cerkno",24,12,15,19,17,12,27,22,14,14,20,17
"Cerkvenjak",8,13,9,5,14,10,9,8,8,12,11,12
"Cirkulane",11,11,14,8,13,19,12,11,9,10,14,18
"Èrenšovci",18,23,19,13,17,20,11,13,11,19,30,17
"Èrna na Koroškem",22,10,22,22,21,6,14,16,26,18,25,9
"Èrnomelj",88,91,86,86,95,106,98,120,90,88,93,116
"Destrnik",7,15,16,7,11,7,17,13,10,14,15,10
"Divaèa",21,13,16,13,21,17,27,12,19,17,17,19
"Dobje",4,4,7,6,12,3,4,9,2,3,4,6
"Dobrepolje",24,35,17,31,25,27,26,36,28,36,37,30
"Dobrna",10,10,12,8,9,8,15,15,10,8,11,11
"Dobrova - Polhov Gradec",25,18,21,23,27,20,37,15,25,31,39,14
"Dobrovnik/Dobronak",3,4,6,8,7,9,3,5,5,16,7,11
"Dol pri Ljubljani",21,12,16,16,19,16,28,9,27,14,18,21
"Dolenjske Toplice",13,9,9,14,13,18,11,11,15,11,30,18
"Domžale",127,129,139,123,129,131,121,105,108,156,160,139
"Dornava",14,12,15,13,12,9,19,15,15,14,20,12
"Dravograd",58,55,55,59,51,69,51,78,59,60,67,91
"Duplek",24,36,34,34,37,25,30,29,30,21,31,22
"Gorenja vas - Poljane",17,17,19,21,25,28,17,15,26,26,24,31
"Gorišnica",22,30,18,29,25,32,20,30,17,31,34,28
"Gorje",15,11,21,11,21,12,7,8,21,13,18,11
"Gornja Radgona",48,57,51,44,52,58,46,52,54,56,49,64
"Gornji Grad",34,45,31,35,38,43,40,32,25,48,36,50
"Gornji Petrovci",14,14,12,15,16,16,15,12,13,16,12,15
"Grad",11,11,14,17,13,7,14,13,19,10,12,17
"Grosuplje",79,70,66,85,69,69,70,73,64,85,97,120
"Hajdina",15,15,13,10,16,6,15,18,18,10,18,15
"Hoèe - Slivnica",52,47,46,36,46,44,46,44,52,45,65,53
"Hodoš/Hodos",4,4,3,4,5,6,7,6,4,2,5,4
"Horjul",20,27,27,25,21,31,26,42,32,29,41,43
"Hrastnik",55,70,58,64,49,76,64,64,55,54,54,64
"Hrpelje - Kozina",17,17,25,11,18,15,18,17,25,14,18,22
"Idrija",59,84,62,95,80,74,56,81,56,90,85,72
"Ig",24,16,33,20,25,20,35,30,28,19,33,21
