"";"obcina";"leto";"spol";"stevilo.umrlih"
"1";"SLOVENIJA";"2010";"M";9292
"2";"SLOVENIJA";"2010";"Z";9317
"3";"SLOVENIJA";"2011";"M";9235
"4";"SLOVENIJA";"2011";"Z";9464
"5";"SLOVENIJA";"2012";"M";9412
"6";"SLOVENIJA";"2012";"Z";9845
"7";"SLOVENIJA";"2013";"M";9555
"8";"SLOVENIJA";"2013";"Z";9779
"9";"SLOVENIJA";"2014";"M";9208
"10";"SLOVENIJA";"2014";"Z";9678
"11";"SLOVENIJA";"2015";"M";9739
"12";"SLOVENIJA";"2015";"Z";10095
"13";"SLOVENIJA";"2016";"M";9673
"14";"SLOVENIJA";"2016";"Z";10016
"15";"SLOVENIJA";"2017";"M";10136
"16";"SLOVENIJA";"2017";"Z";10373
"17";"SLOVENIJA";"2018";"M";10113
"18";"SLOVENIJA";"2018";"Z";10372
"19";"SLOVENIJA";"2019";"M";10112
"20";"SLOVENIJA";"2019";"Z";10476
"21";"SLOVENIJA";"2020";"M";11733
"22";"SLOVENIJA";"2020";"Z";12283
"23";"Ajdovščina";"2010";"M";73
"24";"Ajdovščina";"2010";"Z";98
"25";"Ajdovščina";"2011";"M";77
"26";"Ajdovščina";"2011";"Z";72
"27";"Ajdovščina";"2012";"M";80
"28";"Ajdovščina";"2012";"Z";74
"29";"Ajdovščina";"2013";"M";90
"30";"Ajdovščina";"2013";"Z";89
"31";"Ajdovščina";"2014";"M";77
"32";"Ajdovščina";"2014";"Z";86
"33";"Ajdovščina";"2015";"M";73
"34";"Ajdovščina";"2015";"Z";93
"35";"Ajdovščina";"2016";"M";93
"36";"Ajdovščina";"2016";"Z";96
"37";"Ajdovščina";"2017";"M";90
"38";"Ajdovščina";"2017";"Z";90
"39";"Ajdovščina";"2018";"M";103
"40";"Ajdovščina";"2018";"Z";88
"41";"Ajdovščina";"2019";"M";93
"42";"Ajdovščina";"2019";"Z";95
"43";"Ajdovščina";"2020";"M";95
"44";"Ajdovščina";"2020";"Z";90
"45";"Ankaran";"2015";"M";10
"46";"Ankaran";"2015";"Z";11
"47";"Ankaran";"2016";"M";10
"48";"Ankaran";"2016";"Z";12
"49";"Ankaran";"2017";"M";15
"50";"Ankaran";"2017";"Z";10
"51";"Ankaran";"2018";"M";10
"52";"Ankaran";"2018";"Z";11
"53";"Ankaran";"2019";"M";14
"54";"Ankaran";"2019";"Z";7
"55";"Ankaran";"2020";"M";18
"56";"Ankaran";"2020";"Z";13
"57";"Apače";"2010";"M";15
"58";"Apače";"2010";"Z";16
"59";"Apače";"2011";"M";10
"60";"Apače";"2011";"Z";19
"61";"Apače";"2012";"M";19
"62";"Apače";"2012";"Z";13
"63";"Apače";"2013";"M";18
"64";"Apače";"2013";"Z";13
"65";"Apače";"2014";"M";27
"66";"Apače";"2014";"Z";28
"67";"Apače";"2015";"M";20
"68";"Apače";"2015";"Z";21
"69";"Apače";"2016";"M";19
"70";"Apače";"2016";"Z";18
"71";"Apače";"2017";"M";14
"72";"Apače";"2017";"Z";18
"73";"Apače";"2018";"M";18
"74";"Apače";"2018";"Z";21
"75";"Apače";"2019";"M";10
"76";"Apače";"2019";"Z";20
"77";"Apače";"2020";"M";20
"78";"Apače";"2020";"Z";12
"79";"Beltinci";"2010";"M";44
"80";"Beltinci";"2010";"Z";39
"81";"Beltinci";"2011";"M";36
"82";"Beltinci";"2011";"Z";47
"83";"Beltinci";"2012";"M";39
"84";"Beltinci";"2012";"Z";45
"85";"Beltinci";"2013";"M";35
"86";"Beltinci";"2013";"Z";51
"87";"Beltinci";"2014";"M";42
"88";"Beltinci";"2014";"Z";47
"89";"Beltinci";"2015";"M";33
"90";"Beltinci";"2015";"Z";46
"91";"Beltinci";"2016";"M";41
"92";"Beltinci";"2016";"Z";42
"93";"Beltinci";"2017";"M";48
"94";"Beltinci";"2017";"Z";37
"95";"Beltinci";"2018";"M";61
"96";"Beltinci";"2018";"Z";42
"97";"Beltinci";"2019";"M";43
"98";"Beltinci";"2019";"Z";42
"99";"Beltinci";"2020";"M";58
"100";"Beltinci";"2020";"Z";54
"101";"Benedikt";"2010";"M";13
"102";"Benedikt";"2010";"Z";7
"103";"Benedikt";"2011";"M";15
"104";"Benedikt";"2011";"Z";5
"105";"Benedikt";"2012";"M";7
"106";"Benedikt";"2012";"Z";5
"107";"Benedikt";"2013";"M";16
"108";"Benedikt";"2013";"Z";11
"109";"Benedikt";"2014";"M";9
"110";"Benedikt";"2014";"Z";8
"111";"Benedikt";"2015";"M";7
"112";"Benedikt";"2015";"Z";8
"113";"Benedikt";"2016";"M";12
"114";"Benedikt";"2016";"Z";5
"115";"Benedikt";"2017";"M";9
"116";"Benedikt";"2017";"Z";8
"117";"Benedikt";"2018";"M";15
"118";"Benedikt";"2018";"Z";15
"119";"Benedikt";"2019";"M";12
"120";"Benedikt";"2019";"Z";17
"121";"Benedikt";"2020";"M";15
"122";"Benedikt";"2020";"Z";9
"123";"Bistrica ob Sotli";"2010";"M";8
"124";"Bistrica ob Sotli";"2010";"Z";8
"125";"Bistrica ob Sotli";"2011";"M";7
"126";"Bistrica ob Sotli";"2011";"Z";6
"127";"Bistrica ob Sotli";"2012";"M";4
"128";"Bistrica ob Sotli";"2012";"Z";11
"129";"Bistrica ob Sotli";"2013";"M";7
"130";"Bistrica ob Sotli";"2013";"Z";8
"131";"Bistrica ob Sotli";"2014";"M";4
"132";"Bistrica ob Sotli";"2014";"Z";10
"133";"Bistrica ob Sotli";"2015";"M";6
"134";"Bistrica ob Sotli";"2015";"Z";14
"135";"Bistrica ob Sotli";"2016";"M";10
"136";"Bistrica ob Sotli";"2016";"Z";4
"137";"Bistrica ob Sotli";"2017";"M";7
"138";"Bistrica ob Sotli";"2017";"Z";8
"139";"Bistrica ob Sotli";"2018";"M";7
"140";"Bistrica ob Sotli";"2018";"Z";8
"141";"Bistrica ob Sotli";"2019";"M";8
"142";"Bistrica ob Sotli";"2019";"Z";7
"143";"Bistrica ob Sotli";"2020";"M";7
"144";"Bistrica ob Sotli";"2020";"Z";10
"145";"Bled";"2010";"M";33
"146";"Bled";"2010";"Z";33
"147";"Bled";"2011";"M";36
"148";"Bled";"2011";"Z";21
"149";"Bled";"2012";"M";41
"150";"Bled";"2012";"Z";35
"151";"Bled";"2013";"M";35
"152";"Bled";"2013";"Z";34
"153";"Bled";"2014";"M";33
"154";"Bled";"2014";"Z";34
"155";"Bled";"2015";"M";41
"156";"Bled";"2015";"Z";31
"157";"Bled";"2016";"M";39
"158";"Bled";"2016";"Z";26
"159";"Bled";"2017";"M";49
"160";"Bled";"2017";"Z";48
"161";"Bled";"2018";"M";35
"162";"Bled";"2018";"Z";33
"163";"Bled";"2019";"M";24
"164";"Bled";"2019";"Z";39
"165";"Bled";"2020";"M";49
"166";"Bled";"2020";"Z";46
"167";"Bloke";"2010";"M";6
"168";"Bloke";"2010";"Z";4
"169";"Bloke";"2011";"M";7
"170";"Bloke";"2011";"Z";10
"171";"Bloke";"2012";"M";6
"172";"Bloke";"2012";"Z";13
"173";"Bloke";"2013";"M";13
"174";"Bloke";"2013";"Z";8
"175";"Bloke";"2014";"M";5
"176";"Bloke";"2014";"Z";8
"177";"Bloke";"2015";"M";16
"178";"Bloke";"2015";"Z";2
"179";"Bloke";"2016";"M";12
"180";"Bloke";"2016";"Z";7
"181";"Bloke";"2017";"M";7
"182";"Bloke";"2017";"Z";6
"183";"Bloke";"2018";"M";14
"184";"Bloke";"2018";"Z";5
"185";"Bloke";"2019";"M";2
"186";"Bloke";"2019";"Z";9
"187";"Bloke";"2020";"M";6
"188";"Bloke";"2020";"Z";3
"189";"Bohinj";"2010";"M";42
"190";"Bohinj";"2010";"Z";33
"191";"Bohinj";"2011";"M";19
"192";"Bohinj";"2011";"Z";33
"193";"Bohinj";"2012";"M";34
"194";"Bohinj";"2012";"Z";30
"195";"Bohinj";"2013";"M";41
"196";"Bohinj";"2013";"Z";41
"197";"Bohinj";"2014";"M";37
"198";"Bohinj";"2014";"Z";31
"199";"Bohinj";"2015";"M";33
"200";"Bohinj";"2015";"Z";35
"201";"Bohinj";"2016";"M";35
"202";"Bohinj";"2016";"Z";25
"203";"Bohinj";"2017";"M";23
"204";"Bohinj";"2017";"Z";36
"205";"Bohinj";"2018";"M";32
"206";"Bohinj";"2018";"Z";38
"207";"Bohinj";"2019";"M";31
"208";"Bohinj";"2019";"Z";46
"209";"Bohinj";"2020";"M";29
"210";"Bohinj";"2020";"Z";48
"211";"Borovnica";"2010";"M";16
"212";"Borovnica";"2010";"Z";21
"213";"Borovnica";"2011";"M";10
"214";"Borovnica";"2011";"Z";7
"215";"Borovnica";"2012";"M";12
"216";"Borovnica";"2012";"Z";9
"217";"Borovnica";"2013";"M";9
"218";"Borovnica";"2013";"Z";12
"219";"Borovnica";"2014";"M";13
"220";"Borovnica";"2014";"Z";14
"221";"Borovnica";"2015";"M";12
"222";"Borovnica";"2015";"Z";12
"223";"Borovnica";"2016";"M";8
"224";"Borovnica";"2016";"Z";13
"225";"Borovnica";"2017";"M";22
"226";"Borovnica";"2017";"Z";8
"227";"Borovnica";"2018";"M";15
"228";"Borovnica";"2018";"Z";14
"229";"Borovnica";"2019";"M";10
"230";"Borovnica";"2019";"Z";20
"231";"Borovnica";"2020";"M";21
"232";"Borovnica";"2020";"Z";12
"233";"Bovec";"2010";"M";11
"234";"Bovec";"2010";"Z";12
"235";"Bovec";"2011";"M";16
"236";"Bovec";"2011";"Z";17
"237";"Bovec";"2012";"M";15
"238";"Bovec";"2012";"Z";16
"239";"Bovec";"2013";"M";11
"240";"Bovec";"2013";"Z";10
"241";"Bovec";"2014";"M";17
"242";"Bovec";"2014";"Z";19
"243";"Bovec";"2015";"M";18
"244";"Bovec";"2015";"Z";11
"245";"Bovec";"2016";"M";19
"246";"Bovec";"2016";"Z";18
"247";"Bovec";"2017";"M";19
"248";"Bovec";"2017";"Z";17
"249";"Bovec";"2018";"M";21
"250";"Bovec";"2018";"Z";16
"251";"Bovec";"2019";"M";17
"252";"Bovec";"2019";"Z";15
"253";"Bovec";"2020";"M";15
"254";"Bovec";"2020";"Z";17
"255";"Braslovče";"2010";"M";18
"256";"Braslovče";"2010";"Z";16
"257";"Braslovče";"2011";"M";19
"258";"Braslovče";"2011";"Z";19
"259";"Braslovče";"2012";"M";14
"260";"Braslovče";"2012";"Z";18
"261";"Braslovče";"2013";"M";24
"262";"Braslovče";"2013";"Z";23
"263";"Braslovče";"2014";"M";22
"264";"Braslovče";"2014";"Z";20
"265";"Braslovče";"2015";"M";20
"266";"Braslovče";"2015";"Z";20
"267";"Braslovče";"2016";"M";17
"268";"Braslovče";"2016";"Z";24
"269";"Braslovče";"2017";"M";20
"270";"Braslovče";"2017";"Z";22
"271";"Braslovče";"2018";"M";23
"272";"Braslovče";"2018";"Z";23
"273";"Braslovče";"2019";"M";22
"274";"Braslovče";"2019";"Z";14
"275";"Braslovče";"2020";"M";32
"276";"Braslovče";"2020";"Z";21
"277";"Brda";"2010";"M";25
"278";"Brda";"2010";"Z";32
"279";"Brda";"2011";"M";24
"280";"Brda";"2011";"Z";32
"281";"Brda";"2012";"M";43
"282";"Brda";"2012";"Z";36
"283";"Brda";"2013";"M";40
"284";"Brda";"2013";"Z";42
"285";"Brda";"2014";"M";32
"286";"Brda";"2014";"Z";36
"287";"Brda";"2015";"M";33
"288";"Brda";"2015";"Z";47
"289";"Brda";"2016";"M";36
"290";"Brda";"2016";"Z";55
"291";"Brda";"2017";"M";33
"292";"Brda";"2017";"Z";55
"293";"Brda";"2018";"M";29
"294";"Brda";"2018";"Z";38
"295";"Brda";"2019";"M";34
"296";"Brda";"2019";"Z";41
"297";"Brda";"2020";"M";33
"298";"Brda";"2020";"Z";57
"299";"Brezovica";"2010";"M";44
"300";"Brezovica";"2010";"Z";25
"301";"Brezovica";"2011";"M";45
"302";"Brezovica";"2011";"Z";35
"303";"Brezovica";"2012";"M";57
"304";"Brezovica";"2012";"Z";58
"305";"Brezovica";"2013";"M";55
"306";"Brezovica";"2013";"Z";62
"307";"Brezovica";"2014";"M";58
"308";"Brezovica";"2014";"Z";76
"309";"Brezovica";"2015";"M";63
"310";"Brezovica";"2015";"Z";62
"311";"Brezovica";"2016";"M";55
"312";"Brezovica";"2016";"Z";62
"313";"Brezovica";"2017";"M";56
"314";"Brezovica";"2017";"Z";75
"315";"Brezovica";"2018";"M";50
"316";"Brezovica";"2018";"Z";62
"317";"Brezovica";"2019";"M";77
"318";"Brezovica";"2019";"Z";65
"319";"Brezovica";"2020";"M";66
"320";"Brezovica";"2020";"Z";69
"321";"Brežice";"2010";"M";144
"322";"Brežice";"2010";"Z";131
"323";"Brežice";"2011";"M";117
"324";"Brežice";"2011";"Z";147
"325";"Brežice";"2012";"M";129
"326";"Brežice";"2012";"Z";129
"327";"Brežice";"2013";"M";137
"328";"Brežice";"2013";"Z";143
"329";"Brežice";"2014";"M";144
"330";"Brežice";"2014";"Z";156
"331";"Brežice";"2015";"M";132
