"";"spol";"regija";"leto";"kriterij";"umrli"
"1";"M";"SLO";"2010";"umrli.na.1000.prebivalcev";9,2
"2";"M";"SLO";"2010";"umrli.dojencki.na.1000.zivorojenih";2,1
"3";"M";"SLO";"2010";"povprecna.starost.umrlega";70,7
"4";"M";"SLO";"2011";"umrli.na.1000.prebivalcev";9,1
"5";"M";"SLO";"2011";"umrli.dojencki.na.1000.zivorojenih";3,6
"6";"M";"SLO";"2011";"povprecna.starost.umrlega";71,2
"7";"M";"SLO";"2012";"umrli.na.1000.prebivalcev";9,3
"8";"M";"SLO";"2012";"umrli.dojencki.na.1000.zivorojenih";1,6
"9";"M";"SLO";"2012";"povprecna.starost.umrlega";71,8
"10";"M";"SLO";"2013";"umrli.na.1000.prebivalcev";9,4
"11";"M";"SLO";"2013";"umrli.dojencki.na.1000.zivorojenih";3
"12";"M";"SLO";"2013";"povprecna.starost.umrlega";71,9
"13";"M";"SLO";"2014";"umrli.na.1000.prebivalcev";9
"14";"M";"SLO";"2014";"umrli.dojencki.na.1000.zivorojenih";1,7
"15";"M";"SLO";"2014";"povprecna.starost.umrlega";72,7
"16";"M";"SLO";"2015";"umrli.na.1000.prebivalcev";9,5
"17";"M";"SLO";"2015";"umrli.dojencki.na.1000.zivorojenih";1,7
"18";"M";"SLO";"2015";"povprecna.starost.umrlega";72,8
"19";"M";"SLO";"2016";"umrli.na.1000.prebivalcev";9,4
"20";"M";"SLO";"2016";"umrli.dojencki.na.1000.zivorojenih";1,9
"21";"M";"SLO";"2016";"povprecna.starost.umrlega";73
"22";"M";"SLO";"2017";"umrli.na.1000.prebivalcev";9,9
"23";"M";"SLO";"2017";"umrli.dojencki.na.1000.zivorojenih";2
"24";"M";"SLO";"2017";"povprecna.starost.umrlega";74
"25";"M";"SLO";"2018";"umrli.na.1000.prebivalcev";9,8
"26";"M";"SLO";"2018";"umrli.dojencki.na.1000.zivorojenih";2,2
"27";"M";"SLO";"2018";"povprecna.starost.umrlega";74,1
"28";"M";"SLO";"2019";"umrli.na.1000.prebivalcev";9,7
"29";"M";"SLO";"2019";"umrli.dojencki.na.1000.zivorojenih";2,5
"30";"M";"SLO";"2019";"povprecna.starost.umrlega";73,9
"31";"M";"SLO";"2020";"umrli.na.1000.prebivalcev";11,1
"32";"M";"SLO";"2020";"umrli.dojencki.na.1000.zivorojenih";2,5
"33";"M";"SLO";"2020";"povprecna.starost.umrlega";75,3
"34";"M";"MS";"2010";"umrli.na.1000.prebivalcev";10,7
"35";"M";"MS";"2010";"umrli.dojencki.na.1000.zivorojenih";0
"36";"M";"MS";"2010";"povprecna.starost.umrlega";70,3
"37";"M";"MS";"2011";"umrli.na.1000.prebivalcev";11,6
"38";"M";"MS";"2011";"umrli.dojencki.na.1000.zivorojenih";3,6
"39";"M";"MS";"2011";"povprecna.starost.umrlega";70,9
"40";"M";"MS";"2012";"umrli.na.1000.prebivalcev";10,6
"41";"M";"MS";"2012";"umrli.dojencki.na.1000.zivorojenih";0
"42";"M";"MS";"2012";"povprecna.starost.umrlega";71,1
"43";"M";"MS";"2013";"umrli.na.1000.prebivalcev";11,5
"44";"M";"MS";"2013";"umrli.dojencki.na.1000.zivorojenih";0
"45";"M";"MS";"2013";"povprecna.starost.umrlega";70,6
"46";"M";"MS";"2014";"umrli.na.1000.prebivalcev";11,8
"47";"M";"MS";"2014";"umrli.dojencki.na.1000.zivorojenih";5,7
"48";"M";"MS";"2014";"povprecna.starost.umrlega";71,8
"49";"M";"MS";"2015";"umrli.na.1000.prebivalcev";11,2
"50";"M";"MS";"2015";"umrli.dojencki.na.1000.zivorojenih";0
"51";"M";"MS";"2015";"povprecna.starost.umrlega";72
"52";"M";"MS";"2016";"umrli.na.1000.prebivalcev";11,6
"53";"M";"MS";"2016";"umrli.dojencki.na.1000.zivorojenih";4,1
"54";"M";"MS";"2016";"povprecna.starost.umrlega";71,7
"55";"M";"MS";"2017";"umrli.na.1000.prebivalcev";11,7
"56";"M";"MS";"2017";"umrli.dojencki.na.1000.zivorojenih";0
"57";"M";"MS";"2017";"povprecna.starost.umrlega";73,3
"58";"M";"MS";"2018";"umrli.na.1000.prebivalcev";12,2
"59";"M";"MS";"2018";"umrli.dojencki.na.1000.zivorojenih";0
"60";"M";"MS";"2018";"povprecna.starost.umrlega";72,7
"61";"M";"MS";"2019";"umrli.na.1000.prebivalcev";12,1
"62";"M";"MS";"2019";"umrli.dojencki.na.1000.zivorojenih";0
"63";"M";"MS";"2019";"povprecna.starost.umrlega";72,6
"64";"M";"MS";"2020";"umrli.na.1000.prebivalcev";14,5
"65";"M";"MS";"2020";"umrli.dojencki.na.1000.zivorojenih";0
"66";"M";"MS";"2020";"povprecna.starost.umrlega";73,9
