"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SUICIDE","TOT","100000PER","A","2010",10.9,
"AUS","SUICIDE","TOT","100000PER","A","2011",10.7,
"AUS","SUICIDE","TOT","100000PER","A","2012",11.4,
"AUS","SUICIDE","TOT","100000PER","A","2013",11.3,
"AUS","SUICIDE","TOT","100000PER","A","2014",12.5,
"AUS","SUICIDE","TOT","100000PER","A","2015",13.1,
"AUS","SUICIDE","TOT","100000PER","A","2016",12.1,
"AUS","SUICIDE","TOT","100000PER","A","2017",13,
"AUS","SUICIDE","TOT","100000PER","A","2018",12.3,
"AUT","SUICIDE","TOT","100000PER","A","2010",13.9,
"AUT","SUICIDE","TOT","100000PER","A","2011",14.1,
"AUT","SUICIDE","TOT","100000PER","A","2012",13.7,
"AUT","SUICIDE","TOT","100000PER","A","2013",13.6,
"AUT","SUICIDE","TOT","100000PER","A","2014",13.9,
"AUT","SUICIDE","TOT","100000PER","A","2015",12.9,
"AUT","SUICIDE","TOT","100000PER","A","2016",12.2,
"AUT","SUICIDE","TOT","100000PER","A","2017",12.4,
"AUT","SUICIDE","TOT","100000PER","A","2018",12.1,
"AUT","SUICIDE","TOT","100000PER","A","2019",11,
"BEL","SUICIDE","TOT","100000PER","A","2010",17.8,
"BEL","SUICIDE","TOT","100000PER","A","2011",18.1,
"BEL","SUICIDE","TOT","100000PER","A","2012",17.4,
"BEL","SUICIDE","TOT","100000PER","A","2013",16.2,
"BEL","SUICIDE","TOT","100000PER","A","2014",16.1,
"BEL","SUICIDE","TOT","100000PER","A","2015",15.8,
"BEL","SUICIDE","TOT","100000PER","A","2016",15.9,
"CAN","SUICIDE","TOT","100000PER","A","2010",11.1,
"CAN","SUICIDE","TOT","100000PER","A","2011",10.8,
"CAN","SUICIDE","TOT","100000PER","A","2012",10.8,
"CAN","SUICIDE","TOT","100000PER","A","2013",11.1,
"CAN","SUICIDE","TOT","100000PER","A","2014",11.5,
"CAN","SUICIDE","TOT","100000PER","A","2015",11.8,
"CAN","SUICIDE","TOT","100000PER","A","2016",10.6,
"CAN","SUICIDE","TOT","100000PER","A","2017",11,
"CZE","SUICIDE","TOT","100000PER","A","2010",13.5,
"CZE","SUICIDE","TOT","100000PER","A","2011",14.3,
"CZE","SUICIDE","TOT","100000PER","A","2012",14.7,
"CZE","SUICIDE","TOT","100000PER","A","2013",14.2,
"CZE","SUICIDE","TOT","100000PER","A","2014",13.3,
"CZE","SUICIDE","TOT","100000PER","A","2015",12.3,
"CZE","SUICIDE","TOT","100000PER","A","2016",11.7,
"CZE","SUICIDE","TOT","100000PER","A","2017",12.4,
"CZE","SUICIDE","TOT","100000PER","A","2018",12,
"CZE","SUICIDE","TOT","100000PER","A","2019",10.4,
"DNK","SUICIDE","TOT","100000PER","A","2010",9.8,
"DNK","SUICIDE","TOT","100000PER","A","2011",10.2,
"DNK","SUICIDE","TOT","100000PER","A","2012",11.3,
"DNK","SUICIDE","TOT","100000PER","A","2013",10.3,
"DNK","SUICIDE","TOT","100000PER","A","2014",10.6,
"DNK","SUICIDE","TOT","100000PER","A","2015",9.4,
"DNK","SUICIDE","TOT","100000PER","A","2016",9.6,
"DNK","SUICIDE","TOT","100000PER","A","2017",9.5,
"DNK","SUICIDE","TOT","100000PER","A","2018",9.4,
"FIN","SUICIDE","TOT","100000PER","A","2010",17.3,
"FIN","SUICIDE","TOT","100000PER","A","2011",16.4,
"FIN","SUICIDE","TOT","100000PER","A","2012",15.6,
"FIN","SUICIDE","TOT","100000PER","A","2013",15.8,
"FIN","SUICIDE","TOT","100000PER","A","2014",14.1,
"FIN","SUICIDE","TOT","100000PER","A","2016",13.9,
"FIN","SUICIDE","TOT","100000PER","A","2017",14.6,
"FIN","SUICIDE","TOT","100000PER","A","2018",14.2,
"FRA","SUICIDE","TOT","100000PER","A","2010",15.9,
"FRA","SUICIDE","TOT","100000PER","A","2011",15.8,
"FRA","SUICIDE","TOT","100000PER","A","2012",14.6,
"FRA","SUICIDE","TOT","100000PER","A","2013",14.3,
"FRA","SUICIDE","TOT","100000PER","A","2014",13.1,
"FRA","SUICIDE","TOT","100000PER","A","2015",13.1,
"FRA","SUICIDE","TOT","100000PER","A","2016",12.3,
"DEU","SUICIDE","TOT","100000PER","A","2010",10.8,
"DEU","SUICIDE","TOT","100000PER","A","2011",10.8,
"DEU","SUICIDE","TOT","100000PER","A","2012",10.5,
"DEU","SUICIDE","TOT","100000PER","A","2013",10.8,
"DEU","SUICIDE","TOT","100000PER","A","2014",10.8,
"DEU","SUICIDE","TOT","100000PER","A","2015",10.6,
"DEU","SUICIDE","TOT","100000PER","A","2016",10.2,
"DEU","SUICIDE","TOT","100000PER","A","2017",9.5,
"DEU","SUICIDE","TOT","100000PER","A","2018",9.6,
"DEU","SUICIDE","TOT","100000PER","A","2019",9.2,
"GRC","SUICIDE","TOT","100000PER","A","2010",3.1,
"GRC","SUICIDE","TOT","100000PER","A","2011",3.9,
"GRC","SUICIDE","TOT","100000PER","A","2012",4.2,
"GRC","SUICIDE","TOT","100000PER","A","2013",4.5,
"GRC","SUICIDE","TOT","100000PER","A","2014",4.7,
"GRC","SUICIDE","TOT","100000PER","A","2015",4.4,
"GRC","SUICIDE","TOT","100000PER","A","2016",4,
"GRC","SUICIDE","TOT","100000PER","A","2017",4.4,
"GRC","SUICIDE","TOT","100000PER","A","2018",4.7,
"HUN","SUICIDE","TOT","100000PER","A","2010",23.4,
"HUN","SUICIDE","TOT","100000PER","A","2011",22.8,
"HUN","SUICIDE","TOT","100000PER","A","2012",22,
"HUN","SUICIDE","TOT","100000PER","A","2013",19.4,
"HUN","SUICIDE","TOT","100000PER","A","2014",17.8,
"HUN","SUICIDE","TOT","100000PER","A","2015",17.3,
"HUN","SUICIDE","TOT","100000PER","A","2016",16.2,
"HUN","SUICIDE","TOT","100000PER","A","2017",15.1,
"HUN","SUICIDE","TOT","100000PER","A","2018",15.2,
"HUN","SUICIDE","TOT","100000PER","A","2019",14.2,
"ISL","SUICIDE","TOT","100000PER","A","2010",14.8,
"ISL","SUICIDE","TOT","100000PER","A","2011",8.7,
"ISL","SUICIDE","TOT","100000PER","A","2012",11.6,
"ISL","SUICIDE","TOT","100000PER","A","2013",16,
"ISL","SUICIDE","TOT","100000PER","A","2014",13.8,
"ISL","SUICIDE","TOT","100000PER","A","2015",12.3,
"ISL","SUICIDE","TOT","100000PER","A","2016",12.1,
"ISL","SUICIDE","TOT","100000PER","A","2017",9.7,
"ISL","SUICIDE","TOT","100000PER","A","2018",9.7,
"ISL","SUICIDE","TOT","100000PER","A","2019",10.9,
"IRL","SUICIDE","TOT","100000PER","A","2010",10.8,
"IRL","SUICIDE","TOT","100000PER","A","2011",12.2,
"IRL","SUICIDE","TOT","100000PER","A","2012",12.1,
"IRL","SUICIDE","TOT","100000PER","A","2013",10.9,
"IRL","SUICIDE","TOT","100000PER","A","2014",10.7,
"IRL","SUICIDE","TOT","100000PER","A","2015",9.3,
"ITA","SUICIDE","TOT","100000PER","A","2010",5.8,
"ITA","SUICIDE","TOT","100000PER","A","2011",6.2,
"ITA","SUICIDE","TOT","100000PER","A","2012",6.3,
"ITA","SUICIDE","TOT","100000PER","A","2013",6.3,
"ITA","SUICIDE","TOT","100000PER","A","2014",6,
"ITA","SUICIDE","TOT","100000PER","A","2015",5.7,
"ITA","SUICIDE","TOT","100000PER","A","2016",5.5,
"ITA","SUICIDE","TOT","100000PER","A","2017",5.6,
"JPN","SUICIDE","TOT","100000PER","A","2010",21.2,
"JPN","SUICIDE","TOT","100000PER","A","2011",20.9,
"JPN","SUICIDE","TOT","100000PER","A","2012",19.1,
"JPN","SUICIDE","TOT","100000PER","A","2013",18.7,
"JPN","SUICIDE","TOT","100000PER","A","2014",17.6,
"JPN","SUICIDE","TOT","100000PER","A","2015",16.6,
"JPN","SUICIDE","TOT","100000PER","A","2016",15.2,
"JPN","SUICIDE","TOT","100000PER","A","2017",14.9,
"JPN","SUICIDE","TOT","100000PER","A","2018",14.7,
"KOR","SUICIDE","TOT","100000PER","A","2010",33.5,
"KOR","SUICIDE","TOT","100000PER","A","2011",33.3,
"KOR","SUICIDE","TOT","100000PER","A","2012",29.1,
"KOR","SUICIDE","TOT","100000PER","A","2013",28.7,
"KOR","SUICIDE","TOT","100000PER","A","2014",26.7,
"KOR","SUICIDE","TOT","100000PER","A","2015",25.8,
"KOR","SUICIDE","TOT","100000PER","A","2016",24.6,
"KOR","SUICIDE","TOT","100000PER","A","2017",23,
"KOR","SUICIDE","TOT","100000PER","A","2018",24.7,
"KOR","SUICIDE","TOT","100000PER","A","2019",24.6,
"LUX","SUICIDE","TOT","100000PER","A","2010",10.3,
"LUX","SUICIDE","TOT","100000PER","A","2011",10.4,
"LUX","SUICIDE","TOT","100000PER","A","2012",9.4,
"LUX","SUICIDE","TOT","100000PER","A","2013",7.3,
"LUX","SUICIDE","TOT","100000PER","A","2014",11.8,
"LUX","SUICIDE","TOT","100000PER","A","2015",11.1,
"LUX","SUICIDE","TOT","100000PER","A","2016",7.2,
"LUX","SUICIDE","TOT","100000PER","A","2017",8.5,
"LUX","SUICIDE","TOT","100000PER","A","2018",6.6,
"MEX","SUICIDE","TOT","100000PER","A","2010",4.9,
"MEX","SUICIDE","TOT","100000PER","A","2011",5.1,
"MEX","SUICIDE","TOT","100000PER","A","2012",4.9,
"MEX","SUICIDE","TOT","100000PER","A","2013",5.1,
"MEX","SUICIDE","TOT","100000PER","A","2014",5.5,
"MEX","SUICIDE","TOT","100000PER","A","2015",5.5,
"MEX","SUICIDE","TOT","100000PER","A","2016",5.4,
"MEX","SUICIDE","TOT","100000PER","A","2017",5.5,
"NLD","SUICIDE","TOT","100000PER","A","2010",9.2,
"NLD","SUICIDE","TOT","100000PER","A","2011",9.5,
"NLD","SUICIDE","TOT","100000PER","A","2012",10,
"NLD","SUICIDE","TOT","100000PER","A","2013",10.5,
"NLD","SUICIDE","TOT","100000PER","A","2014",10.4,
"NLD","SUICIDE","TOT","100000PER","A","2015",10.5,
"NLD","SUICIDE","TOT","100000PER","A","2016",10.5,
"NLD","SUICIDE","TOT","100000PER","A","2017",10.6,
"NLD","SUICIDE","TOT","100000PER","A","2018",10,
"NZL","SUICIDE","TOT","100000PER","A","2010",12.4,
"NZL","SUICIDE","TOT","100000PER","A","2011",11.3,
"NZL","SUICIDE","TOT","100000PER","A","2012",12.5,
"NZL","SUICIDE","TOT","100000PER","A","2013",11.8,
"NZL","SUICIDE","TOT","100000PER","A","2014",11.5,
"NZL","SUICIDE","TOT","100000PER","A","2015",11.7,
"NZL","SUICIDE","TOT","100000PER","A","2016",12,
"NOR","SUICIDE","TOT","100000PER","A","2010",11.2,
"NOR","SUICIDE","TOT","100000PER","A","2011",12.1,
"NOR","SUICIDE","TOT","100000PER","A","2012",10.2,
"NOR","SUICIDE","TOT","100000PER","A","2013",10.8,
"NOR","SUICIDE","TOT","100000PER","A","2014",10.5,
"NOR","SUICIDE","TOT","100000PER","A","2015",11.1,
"NOR","SUICIDE","TOT","100000PER","A","2016",11.6,
"POL","SUICIDE","TOT","100000PER","A","2010",15.9,
"POL","SUICIDE","TOT","100000PER","A","2011",15.3,
"POL","SUICIDE","TOT","100000PER","A","2012",15.8,
"POL","SUICIDE","TOT","100000PER","A","2013",15.5,
"POL","SUICIDE","TOT","100000PER","A","2014",14.8,
"POL","SUICIDE","TOT","100000PER","A","2015",13.5,
"POL","SUICIDE","TOT","100000PER","A","2016",11.6,
"POL","SUICIDE","TOT","100000PER","A","2017",11.1,
"POL","SUICIDE","TOT","100000PER","A","2018",11.1,
"PRT","SUICIDE","TOT","100000PER","A","2010",9.3,
"PRT","SUICIDE","TOT","100000PER","A","2011",8.6,
"PRT","SUICIDE","TOT","100000PER","A","2012",9,
"PRT","SUICIDE","TOT","100000PER","A","2013",8.7,
"PRT","SUICIDE","TOT","100000PER","A","2014",10.2,
"PRT","SUICIDE","TOT","100000PER","A","2015",9.3,
"PRT","SUICIDE","TOT","100000PER","A","2016",8.1,
"PRT","SUICIDE","TOT","100000PER","A","2017",8.8,
"PRT","SUICIDE","TOT","100000PER","A","2018",8.2,
"SVK","SUICIDE","TOT","100000PER","A","2010",11.3,
"SVK","SUICIDE","TOT","100000PER","A","2012",10.2,
"SVK","SUICIDE","TOT","100000PER","A","2013",10.9,
"SVK","SUICIDE","TOT","100000PER","A","2014",9.7,
"ESP","SUICIDE","TOT","100000PER","A","2010",6.3,
"ESP","SUICIDE","TOT","100000PER","A","2011",6.3,
"ESP","SUICIDE","TOT","100000PER","A","2012",6.9,
"ESP","SUICIDE","TOT","100000PER","A","2013",7.5,
"ESP","SUICIDE","TOT","100000PER","A","2014",7.6,
"ESP","SUICIDE","TOT","100000PER","A","2015",6.9,
"ESP","SUICIDE","TOT","100000PER","A","2016",6.8,
"ESP","SUICIDE","TOT","100000PER","A","2017",7,
"SWE","SUICIDE","TOT","100000PER","A","2010",11.7,
"SWE","SUICIDE","TOT","100000PER","A","2011",11.4,
"SWE","SUICIDE","TOT","100000PER","A","2012",11.6,
"SWE","SUICIDE","TOT","100000PER","A","2013",12.3,
"SWE","SUICIDE","TOT","100000PER","A","2014",11.4,
"SWE","SUICIDE","TOT","100000PER","A","2015",11.7,
"SWE","SUICIDE","TOT","100000PER","A","2016",11.1,
"SWE","SUICIDE","TOT","100000PER","A","2017",11.4,
"SWE","SUICIDE","TOT","100000PER","A","2018",12.2,
"CHE","SUICIDE","TOT","100000PER","A","2010",11.9,
"CHE","SUICIDE","TOT","100000PER","A","2011",12.1,
"CHE","SUICIDE","TOT","100000PER","A","2012",12,
"CHE","SUICIDE","TOT","100000PER","A","2013",12.2,
"CHE","SUICIDE","TOT","100000PER","A","2014",11.4,
"CHE","SUICIDE","TOT","100000PER","A","2015",11.9,
"CHE","SUICIDE","TOT","100000PER","A","2016",11.1,
"CHE","SUICIDE","TOT","100000PER","A","2017",11.3,
"GBR","SUICIDE","TOT","100000PER","A","2010",6.7,
"GBR","SUICIDE","TOT","100000PER","A","2011",6.9,
"GBR","SUICIDE","TOT","100000PER","A","2012",6.9,
"GBR","SUICIDE","TOT","100000PER","A","2013",7.5,
"GBR","SUICIDE","TOT","100000PER","A","2014",7.4,
"GBR","SUICIDE","TOT","100000PER","A","2015",7.5,
"GBR","SUICIDE","TOT","100000PER","A","2016",7.3,
"USA","SUICIDE","TOT","100000PER","A","2010",12.5,
"USA","SUICIDE","TOT","100000PER","A","2011",12.8,
"USA","SUICIDE","TOT","100000PER","A","2012",13,
"USA","SUICIDE","TOT","100000PER","A","2013",13.1,
"USA","SUICIDE","TOT","100000PER","A","2014",13.5,
"USA","SUICIDE","TOT","100000PER","A","2015",13.8,
"USA","SUICIDE","TOT","100000PER","A","2016",14,
"USA","SUICIDE","TOT","100000PER","A","2017",14.5,
"BRA","SUICIDE","TOT","100000PER","A","2010",5.4,
"BRA","SUICIDE","TOT","100000PER","A","2011",5.6,
"BRA","SUICIDE","TOT","100000PER","A","2012",5.8,
"BRA","SUICIDE","TOT","100000PER","A","2013",5.8,
