"";"leto";"spol";"starostne.skupine";"izobrazba";"stevilo.umrlih.izobrazba";"stan";"stevilo.umrlih.stan"
"1";2010;"M";"0-15";"ni.podatka";"ni.podatka";"samski/a";37
"2";2010;"M";"0-15";"ni.podatka";"ni.podatka";"porocen/a";0
"3";2010;"M";"0-15";"ni.podatka";"ni.podatka";"vdovec/vdova";0
"4";2010;"M";"0-15";"ni.podatka";"ni.podatka";"razvezan/a";0
"5";2010;"M";"15-19";"brez";"0";"porocen/a";0
"6";2010;"M";"15-19";"brez";"0";"samski/a";19
"7";2010;"M";"15-19";"brez";"0";"razvezan/a";0
"8";2010;"M";"15-19";"brez";"0";"vdovec/vdova";0
"9";2010;"M";"15-19";"OS";"17";"porocen/a";0
"10";2010;"M";"15-19";"OS";"17";"samski/a";19
"11";2010;"M";"15-19";"OS";"17";"razvezan/a";0
"12";2010;"M";"15-19";"OS";"17";"vdovec/vdova";0
"13";2010;"M";"15-19";"SS";"1";"porocen/a";0
"14";2010;"M";"15-19";"SS";"1";"samski/a";19
"15";2010;"M";"15-19";"SS";"1";"razvezan/a";0
"16";2010;"M";"15-19";"SS";"1";"vdovec/vdova";0
"17";2010;"M";"15-19";"VS";"0";"porocen/a";0
"18";2010;"M";"15-19";"VS";"0";"samski/a";19
"19";2010;"M";"15-19";"VS";"0";"razvezan/a";0
"20";2010;"M";"15-19";"VS";"0";"vdovec/vdova";0
"21";2010;"M";"15-19";"neznano";"1";"porocen/a";0
"22";2010;"M";"15-19";"neznano";"1";"samski/a";19
"23";2010;"M";"15-19";"neznano";"1";"razvezan/a";0
"24";2010;"M";"15-19";"neznano";"1";"vdovec/vdova";0
"25";2010;"M";"20-24";"brez";"3";"vdovec/vdova";0
"26";2010;"M";"20-24";"brez";"3";"razvezan/a";0
"27";2010;"M";"20-24";"brez";"3";"porocen/a";0
"28";2010;"M";"20-24";"brez";"3";"samski/a";52
"29";2010;"M";"20-24";"OS";"31";"vdovec/vdova";0
"30";2010;"M";"20-24";"OS";"31";"razvezan/a";0
"31";2010;"M";"20-24";"OS";"31";"porocen/a";0
"32";2010;"M";"20-24";"OS";"31";"samski/a";52
"33";2010;"M";"20-24";"SS";"17";"vdovec/vdova";0
"34";2010;"M";"20-24";"SS";"17";"razvezan/a";0
"35";2010;"M";"20-24";"SS";"17";"porocen/a";0
"36";2010;"M";"20-24";"SS";"17";"samski/a";52
"37";2010;"M";"20-24";"VS";"0";"vdovec/vdova";0
"38";2010;"M";"20-24";"VS";"0";"razvezan/a";0
"39";2010;"M";"20-24";"VS";"0";"porocen/a";0
"40";2010;"M";"20-24";"VS";"0";"samski/a";52
"41";2010;"M";"20-24";"neznano";"1";"vdovec/vdova";0
"42";2010;"M";"20-24";"neznano";"1";"razvezan/a";0
"43";2010;"M";"20-24";"neznano";"1";"porocen/a";0
"44";2010;"M";"20-24";"neznano";"1";"samski/a";52
"45";2010;"M";"25-29";"brez";"3";"vdovec/vdova";0
"46";2010;"M";"25-29";"brez";"3";"samski/a";47
"47";2010;"M";"25-29";"brez";"3";"porocen/a";3
"48";2010;"M";"25-29";"brez";"3";"razvezan/a";0
"49";2010;"M";"25-29";"OS";"18";"vdovec/vdova";0
"50";2010;"M";"25-29";"OS";"18";"samski/a";47
"51";2010;"M";"25-29";"OS";"18";"porocen/a";3
"52";2010;"M";"25-29";"OS";"18";"razvezan/a";0
"53";2010;"M";"25-29";"SS";"28";"vdovec/vdova";0
"54";2010;"M";"25-29";"SS";"28";"samski/a";47
"55";2010;"M";"25-29";"SS";"28";"porocen/a";3
"56";2010;"M";"25-29";"SS";"28";"razvezan/a";0
"57";2010;"M";"25-29";"VS";"1";"vdovec/vdova";0
"58";2010;"M";"25-29";"VS";"1";"samski/a";47
"59";2010;"M";"25-29";"VS";"1";"porocen/a";3
"60";2010;"M";"25-29";"VS";"1";"razvezan/a";0
"61";2010;"M";"25-29";"neznano";"0";"vdovec/vdova";0
"62";2010;"M";"25-29";"neznano";"0";"samski/a";47
"63";2010;"M";"25-29";"neznano";"0";"porocen/a";3
"64";2010;"M";"25-29";"neznano";"0";"razvezan/a";0
"65";2010;"M";"30-34";"brez";"5";"razvezan/a";3
"66";2010;"M";"30-34";"brez";"5";"samski/a";63
"67";2010;"M";"30-34";"brez";"5";"vdovec/vdova";1
"68";2010;"M";"30-34";"brez";"5";"porocen/a";14
"69";2010;"M";"30-34";"OS";"17";"razvezan/a";3
"70";2010;"M";"30-34";"OS";"17";"samski/a";63
"71";2010;"M";"30-34";"OS";"17";"vdovec/vdova";1
"72";2010;"M";"30-34";"OS";"17";"porocen/a";14
"73";2010;"M";"30-34";"SS";"52";"razvezan/a";3
"74";2010;"M";"30-34";"SS";"52";"samski/a";63
"75";2010;"M";"30-34";"SS";"52";"vdovec/vdova";1
"76";2010;"M";"30-34";"SS";"52";"porocen/a";14
"77";2010;"M";"30-34";"VS";"7";"razvezan/a";3
"78";2010;"M";"30-34";"VS";"7";"samski/a";63
"79";2010;"M";"30-34";"VS";"7";"vdovec/vdova";1
"80";2010;"M";"30-34";"VS";"7";"porocen/a";14
"81";2010;"M";"30-34";"neznano";"0";"razvezan/a";3
"82";2010;"M";"30-34";"neznano";"0";"samski/a";63
"83";2010;"M";"30-34";"neznano";"0";"vdovec/vdova";1
"84";2010;"M";"30-34";"neznano";"0";"porocen/a";14
"85";2010;"M";"35-39";"brez";"7";"vdovec/vdova";0
"86";2010;"M";"35-39";"brez";"7";"porocen/a";20
"87";2010;"M";"35-39";"brez";"7";"samski/a";64
"88";2010;"M";"35-39";"brez";"7";"razvezan/a";3
"89";2010;"M";"35-39";"OS";"19";"vdovec/vdova";0
"90";2010;"M";"35-39";"OS";"19";"porocen/a";20
"91";2010;"M";"35-39";"OS";"19";"samski/a";64
