"";"drzava";"leto";"umrli";"vrednost.bdp"
"1";"AUS";2010;"10.9";"42825.605734"
"2";"AUS";2011;"10.7";"44429.559507"
"3";"AUS";2012;"11.4";"43883.378891"
"4";"AUS";2013;"11.3";"47761.901259"
"5";"AUS";2014;"12.5";"47603.880878"
"6";"AUS";2015;"13.1";"47232.62912"
"7";"AUS";2016;"12.1";"50150.652199"
"8";"AUS";2017;"13";"50699.175108"
"9";"AUS";2018;"12.3";"52907.901588"
"10";"AUS";2019;"ni.podatka";"52956.736913"
"11";"AUT";2010;"13.9";"42053.24337"
"12";"AUT";2011;"14.1";"44469.209642"
"13";"AUT";2012;"13.7";"46477.655075"
"14";"AUT";2013;"13.6";"47936.677963"
"15";"AUT";2014;"13.9";"48813.534409"
"16";"AUT";2015;"12.9";"49942.056293"
"17";"AUT";2016;"12.2";"52665.087457"
"18";"AUT";2017;"12.4";"54188.360666"
"19";"AUT";2018;"12.1";"57077.725327"
"20";"AUT";2019;"11";"58656.346377"
"21";"BEL";2010;"17.8";"39868.992658"
"22";"BEL";2011;"18.1";"40943.343479"
"23";"BEL";2012;"17.4";"42290.477674"
"24";"BEL";2013;"16.2";"43672.712292"
"25";"BEL";2014;"16.1";"44929.933328"
"26";"BEL";2015;"15.8";"46201.685891"
"27";"BEL";2016;"15.9";"48599.202676"
"28";"BEL";2017;"ni.podatka";"50442.947518"
"29";"BEL";2018;"ni.podatka";"52623.794383"
"30";"BEL";2019;"ni.podatka";"54918.053637"
"31";"BGR";2010;"ni.podatka";"14692.355494"
"32";"BGR";2011;"ni.podatka";"15747.0217"
"33";"BGR";2012;"ni.podatka";"16327.88074"
"34";"BGR";2013;"ni.podatka";"16647.0627"
"35";"BGR";2014;"ni.podatka";"17616.975217"
"36";"BGR";2015;"ni.podatka";"18391.873452"
"37";"BGR";2016;"ni.podatka";"20074.333169"
"38";"BGR";2017;"ni.podatka";"21469.942087"
"39";"BGR";2018;"ni.podatka";"22957.230311"
"40";"BGR";2019;"ni.podatka";"24707.177964"
"41";"BRA";2010;"5.4";"14359.933545"
"42";"BRA";2011;"5.6";"15109.737403"
"43";"BRA";2012;"5.8";"15120.063649"
"44";"BRA";2013;"5.8";"15669.140139"
"45";"BRA";2014;"5.7";"15800.088894"
"46";"BRA";2015;"6";"14816.290598"
"47";"BRA";2016;"5.9";"14326.10209"
"48";"BRA";2017;"6.4";"14596.889676"
"49";"BRA";2018;"6.4";"15090.63762"
