"";"spol";"regija";"leto";"vzrok";"stevilo.umrlih"
"1";"M";"SLOVENIJA";"2010";"neoplazme";3255
"2";"M";"SLOVENIJA";"2010";"bolezni.obtocil";3090
"3";"M";"SLOVENIJA";"2010";"bolezni.dihal";564
"4";"M";"SLOVENIJA";"2010";"bolezni.prebavil";666
"5";"M";"SLOVENIJA";"2010";"poskodbe.zastrupitve.zunanji.vzroki";903
"6";"M";"SLOVENIJA";"2010";"na.1000.prebivalcev.neoplazme";3,2
"7";"M";"SLOVENIJA";"2010";"na.1000.prebivalcev.obtocila";3
"8";"M";"SLOVENIJA";"2010";"na.1000.prebivalcev.dihala";0,6
"9";"M";"SLOVENIJA";"2010";"na.1000.prebivalcev.prebavila";0,7
"10";"M";"SLOVENIJA";"2010";"na.1000.prebivalcev.zunanji.vzroki";0,9
"11";"M";"SLOVENIJA";"2011";"neoplazme";3276
"12";"M";"SLOVENIJA";"2011";"bolezni.obtocil";2997
"13";"M";"SLOVENIJA";"2011";"bolezni.dihal";605
"14";"M";"SLOVENIJA";"2011";"bolezni.prebavil";622
"15";"M";"SLOVENIJA";"2011";"poskodbe.zastrupitve.zunanji.vzroki";882
"16";"M";"SLOVENIJA";"2011";"na.1000.prebivalcev.neoplazme";3,2
"17";"M";"SLOVENIJA";"2011";"na.1000.prebivalcev.obtocila";3
"18";"M";"SLOVENIJA";"2011";"na.1000.prebivalcev.dihala";0,6
"19";"M";"SLOVENIJA";"2011";"na.1000.prebivalcev.prebavila";0,6
"20";"M";"SLOVENIJA";"2011";"na.1000.prebivalcev.zunanji.vzroki";0,9
"21";"M";"SLOVENIJA";"2012";"neoplazme";3273
"22";"M";"SLOVENIJA";"2012";"bolezni.obtocil";3008
"23";"M";"SLOVENIJA";"2012";"bolezni.dihal";673
"24";"M";"SLOVENIJA";"2012";"bolezni.prebavil";687
"25";"M";"SLOVENIJA";"2012";"poskodbe.zastrupitve.zunanji.vzroki";852
"26";"M";"SLOVENIJA";"2012";"na.1000.prebivalcev.neoplazme";3,2
"27";"M";"SLOVENIJA";"2012";"na.1000.prebivalcev.obtocila";3
"28";"M";"SLOVENIJA";"2012";"na.1000.prebivalcev.dihala";0,7
"29";"M";"SLOVENIJA";"2012";"na.1000.prebivalcev.prebavila";0,7
"30";"M";"SLOVENIJA";"2012";"na.1000.prebivalcev.zunanji.vzroki";0,8
"31";"M";"SLOVENIJA";"2013";"neoplazme";3394
"32";"M";"SLOVENIJA";"2013";"bolezni.obtocil";3056
"33";"M";"SLOVENIJA";"2013";"bolezni.dihal";631
"34";"M";"SLOVENIJA";"2013";"bolezni.prebavil";629
"35";"M";"SLOVENIJA";"2013";"poskodbe.zastrupitve.zunanji.vzroki";867
"36";"M";"SLOVENIJA";"2013";"na.1000.prebivalcev.neoplazme";3,3
"37";"M";"SLOVENIJA";"2013";"na.1000.prebivalcev.obtocila";3
"38";"M";"SLOVENIJA";"2013";"na.1000.prebivalcev.dihala";0,6
"39";"M";"SLOVENIJA";"2013";"na.1000.prebivalcev.prebavila";0,6
"40";"M";"SLOVENIJA";"2013";"na.1000.prebivalcev.zunanji.vzroki";0,9
"41";"M";"SLOVENIJA";"2014";"neoplazme";3301
"42";"M";"SLOVENIJA";"2014";"bolezni.obtocil";3071
"43";"M";"SLOVENIJA";"2014";"bolezni.dihal";576
"44";"M";"SLOVENIJA";"2014";"bolezni.prebavil";548
"45";"M";"SLOVENIJA";"2014";"poskodbe.zastrupitve.zunanji.vzroki";753
"46";"M";"SLOVENIJA";"2014";"na.1000.prebivalcev.neoplazme";3,2
"47";"M";"SLOVENIJA";"2014";"na.1000.prebivalcev.obtocila";3
"48";"M";"SLOVENIJA";"2014";"na.1000.prebivalcev.dihala";0,6
"49";"M";"SLOVENIJA";"2014";"na.1000.prebivalcev.prebavila";0,5
"50";"M";"SLOVENIJA";"2014";"na.1000.prebivalcev.zunanji.vzroki";0,7
"51";"M";"SLOVENIJA";"2015";"neoplazme";3489
"52";"M";"SLOVENIJA";"2015";"bolezni.obtocil";3184
"53";"M";"SLOVENIJA";"2015";"bolezni.dihal";631
"54";"M";"SLOVENIJA";"2015";"bolezni.prebavil";480
"55";"M";"SLOVENIJA";"2015";"poskodbe.zastrupitve.zunanji.vzroki";846
"56";"M";"SLOVENIJA";"2015";"na.1000.prebivalcev.neoplazme";3,4
"57";"M";"SLOVENIJA";"2015";"na.1000.prebivalcev.obtocila";3,1
"58";"M";"SLOVENIJA";"2015";"na.1000.prebivalcev.dihala";0,6
"59";"M";"SLOVENIJA";"2015";"na.1000.prebivalcev.prebavila";0,5
"60";"M";"SLOVENIJA";"2015";"na.1000.prebivalcev.zunanji.vzroki";0,8
"61";"M";"SLOVENIJA";"2016";"neoplazme";3509
"62";"M";"SLOVENIJA";"2016";"bolezni.obtocil";3135
"63";"M";"SLOVENIJA";"2016";"bolezni.dihal";604
"64";"M";"SLOVENIJA";"2016";"bolezni.prebavil";478
"65";"M";"SLOVENIJA";"2016";"poskodbe.zastrupitve.zunanji.vzroki";845
"66";"M";"SLOVENIJA";"2016";"na.1000.prebivalcev.neoplazme";3,4
"67";"M";"SLOVENIJA";"2016";"na.1000.prebivalcev.obtocila";3,1
"68";"M";"SLOVENIJA";"2016";"na.1000.prebivalcev.dihala";0,6
"69";"M";"SLOVENIJA";"2016";"na.1000.prebivalcev.prebavila";0,5
"70";"M";"SLOVENIJA";"2016";"na.1000.prebivalcev.zunanji.vzroki";0,8
"71";"M";"SLOVENIJA";"2017";"neoplazme";3555
"72";"M";"SLOVENIJA";"2017";"bolezni.obtocil";3302
"73";"M";"SLOVENIJA";"2017";"bolezni.dihal";628
"74";"M";"SLOVENIJA";"2017";"bolezni.prebavil";508
"75";"M";"SLOVENIJA";"2017";"poskodbe.zastrupitve.zunanji.vzroki";861
