"Umrli po starostnih skupinah, spolu in zakonskem stanu, Slovenija, letno"

"LETO","SPOL","STAROSTNE SKUPINE","Samski/a","Poroèen/a","Vdovec/Vdova","Razvezan/a"
"2015","Moški","Pod 15 let",38,0,0,0
"2015","Moški","15-19 let",22,0,0,0
"2015","Moški","20-24 let",33,0,0,0
"2015","Moški","25-29 let",40,3,0,1
"2015","Moški","30-34 let",55,5,1,0
"2015","Moški","35-39 let",67,19,0,2
"2015","Moški","40-44 let",85,41,0,5
"2015","Moški","45-49 let",114,74,1,19
"2015","Moški","50-54 let",186,155,4,61
"2015","Moški","55-59 let",212,286,16,108
"2015","Moški","60-64 let",213,528,48,148
"2015","Moški","65-69 let",160,605,67,135
"2015","Moški","70-74 let",145,797,138,117
"2015","Moški","75-79 let",102,983,235,101
"2015","Moški","80-84 let",84,1067,457,67
"2015","Moški","85 + let",79,936,816,58
"2015","Ženske","Pod 15 let",26,0,0,0
"2015","Ženske","15-19 let",6,0,0,0
"2015","Ženske","20-24 let",14,0,0,0
"2015","Ženske","25-29 let",8,0,0,0
"2015","Ženske","30-34 let",20,6,0,1
"2015","Ženske","35-39 let",18,16,0,1
"2015","Ženske","40-44 let",21,17,2,12
"2015","Ženske","45-49 let",45,44,1,16
"2015","Ženske","50-54 let",33,99,9,30
"2015","Ženske","55-59 let",35,139,34,54
"2015","Ženske","60-64 let",51,203,84,82
"2015","Ženske","65-69 let",67,274,118,75
"2015","Ženske","70-74 let",47,288,276,87
"2015","Ženske","75-79 let",78,331,600,123
"2015","Ženske","80-84 let",149,351,1291,148
"2015","Ženske","85 + let",468,309,3633,255
"2016","Moški","Pod 15 let",36,0,0,0
"2016","Moški","15-19 let",25,0,0,0
"2016","Moški","20-24 let",42,1,0,0
"2016","Moški","25-29 let",41,2,0,0
"2016","Moški","30-34 let",54,7,0,0
"2016","Moški","35-39 let",73,14,0,3
"2016","Moški","40-44 let",60,30,0,5
"2016","Moški","45-49 let",109,66,0,21
"2016","Moški","50-54 let",172,151,4,58
"2016","Moški","55-59 let",191,292,22,98
"2016","Moški","60-64 let",229,486,34,161
"2016","Moški","65-69 let",175,669,73,158
"2016","Moški","70-74 let",120,757,96,99
"2016","Moški","75-79 let",104,962,234,85
"2016","Moški","80-84 let",93,1035,416,82
"2016","Moški","85 + let",78,1035,846,69
"2016","Ženske","Pod 15 let",32,0,0,0
"2016","Ženske","15-19 let",14,0,0,0
"2016","Ženske","20-24 let",8,0,0,0
"2016","Ženske","25-29 let",10,2,0,0
"2016","Ženske","30-34 let",13,11,0,0
"2016","Ženske","35-39 let",19,9,0,2
"2016","Ženske","40-44 let",20,24,1,2
"2016","Ženske","45-49 let",16,52,2,14
"2016","Ženske","50-54 let",46,76,10,29
"2016","Ženske","55-59 let",40,148,27,47
"2016","Ženske","60-64 let",50,205,72,78
"2016","Ženske","65-69 let",51,224,136,81
"2016","Ženske","70-74 let",55,258,289,71
"2016","Ženske","75-79 let",93,303,546,95
"2016","Ženske","80-84 let",159,362,1210,133
"2016","Ženske","85 + let",477,311,3813,270
"2017","Moški","Pod 15 let",30,0,0,0
"2017","Moški","15-19 let",13,0,0,0
"2017","Moški","20-24 let",27,0,0,0
"2017","Moški","25-29 let",41,2,0,2
"2017","Moški","30-34 let",50,7,0,1
"2017","Moški","35-39 let",52,9,0,4
"2017","Moški","40-44 let",64,24,0,11
"2017","Moški","45-49 let",95,58,1,19
"2017","Moški","50-54 let",173,146,5,45
"2017","Moški","55-59 let",217,280,7,75
"2017","Moški","60-64 let",239,493,30,178
"2017","Moški","65-69 let",213,624,87,168
"2017","Moški","70-74 let",150,734,120,123
"2017","Moški","75-79 let",136,979,243,118
"2017","Moški","80-84 let",97,1134,411,91
"2017","Moški","85 + let",85,1185,976,64
"2017","Ženske","Pod 15 let",32,0,0,0
"2017","Ženske","15-19 let",8,0,0,0
"2017","Ženske","20-24 let",16,0,0,0
"2017","Ženske","25-29 let",10,0,0,0
"2017","Ženske","30-34 let",11,3,0,1
"2017","Ženske","35-39 let",20,7,0,4
"2017","Ženske","40-44 let",26,16,1,8
"2017","Ženske","45-49 let",43,37,1,11
"2017","Ženske","50-54 let",48,81,10,25
"2017","Ženske","55-59 let",59,158,22,45
"2017","Ženske","60-64 let",59,224,72,83
"2017","Ženske","65-69 let",64,293,128,68
"2017","Ženske","70-74 let",61,282,219,93
"2017","Ženske","75-79 let",95,332,596,104
"2017","Ženske","80-84 let",157,376,1230,130
"2017","Ženske","85 + let",476,364,3826,338
"2018","Moški","Pod 15 let",36,0,0,0
"2018","Moški","15-19 let",21,0,0,0
"2018","Moški","20-24 let",29,0,0,0
"2018","Moški","25-29 let",30,1,0,1
"2018","Moški","30-34 let",40,2,0,0
"2018","Moški","35-39 let",69,18,0,1
"2018","Moški","40-44 let",78,34,0,15
"2018","Moški","45-49 let",87,45,1,26
"2018","Moški","50-54 let",156,131,6,40
"2018","Moški","55-59 let",188,242,13,93
"2018","Moški","60-64 let",218,482,23,168
"2018","Moški","65-69 let",224,700,62,175
"2018","Moški","70-74 let",125,772,116,127
"2018","Moški","75-79 let",123,1014,237,127
"2018","Moški","80-84 let",99,1054,405,79
"2018","Moški","85 + let",97,1198,1010,75
"2018","Ženske","Pod 15 let",26,0,0,0
"2018","Ženske","15-19 let",7,0,0,0
"2018","Ženske","20-24 let",4,0,0,0
"2018","Ženske","25-29 let",10,3,0,0
"2018","Ženske","30-34 let",13,4,0,0
"2018","Ženske","35-39 let",23,9,0,2
"2018","Ženske","40-44 let",21,23,1,7
"2018","Ženske","45-49 let",21,38,3,10
"2018","Ženske","50-54 let",52,93,2,32
"2018","Ženske","55-59 let",40,135,24,56
"2018","Ženske","60-64 let",70,223,67,72
"2018","Ženske","65-69 let",69,291,132,98
"2018","Ženske","70-74 let",81,241,217,99
"2018","Ženske","75-79 let",114,360,554,120
"2018","Ženske","80-84 let",134,402,1122,139
"2018","Ženske","85 + let",456,416,3904,332
"2019","Moški","Pod 15 let",42,0,0,0
"2019","Moški","15-19 let",16,0,0,0
"2019","Moški","20-24 let",28,0,0,0
"2019","Moški","25-29 let",44,0,0,0
"2019","Moški","30-34 let",47,10,0,0
"2019","Moški","35-39 let",71,10,0,4
"2019","Moški","40-44 let",86,22,1,12
"2019","Moški","45-49 let",107,49,0,17
"2019","Moški","50-54 let",139,118,4,47
"2019","Moški","55-59 let",226,236,10,77
"2019","Moški","60-64 let",239,411,39,153
"2019","Moški","65-69 let",258,704,68,199
"2019","Moški","70-74 let",169,769,109,133
"2019","Moški","75-79 let",140,1000,247,116
"2019","Moški","80-84 let",99,1014,414,80
"2019","Moški","85 + let",94,1134,1014,86
"2019","Ženske","Pod 15 let",26,0,0,0
"2019","Ženske","15-19 let",5,0,0,0
"2019","Ženske","20-24 let",5,0,0,0
"2019","Ženske","25-29 let",6,1,0,0
"2019","Ženske","30-34 let",17,2,0,0
"2019","Ženske","35-39 let",22,8,0,5
"2019","Ženske","40-44 let",22,16,0,0
"2019","Ženske","45-49 let",28,37,0,14
"2019","Ženske","50-54 let",55,74,4,21
"2019","Ženske","55-59 let",46,120,22,35
"2019","Ženske","60-64 let",74,215,61,82
"2019","Ženske","65-69 let",75,287,116,112
"2019","Ženske","70-74 let",76,305,237,69
"2019","Ženske","75-79 let",82,349,522,138
"2019","Ženske","80-84 let",128,356,1081,121
"2019","Ženske","85 + let",452,345,4224,378
"2020","Moški","Pod 15 let",34,0,0,0
"2020","Moški","15-19 let",13,0,0,0
"2020","Moški","20-24 let",28,0,0,0
"2020","Moški","25-29 let",31,2,0,0
"2020","Moški","30-34 let",42,8,0,0
"2020","Moški","35-39 let",51,20,0,1
"2020","Moški","40-44 let",82,39,0,10
"2020","Moški","45-49 let",113,61,1,15
"2020","Moški","50-54 let",181,137,3,45
"2020","Moški","55-59 let",197,229,9,97
"2020","Moški","60-64 let",265,374,34,158
"2020","Moški","65-69 let",264,778,74,227
"2020","Moški","70-74 let",211,845,149,175
"2020","Moški","75-79 let",160,1101,261,133
"2020","Moški","80-84 let",133,1290,460,123
"2020","Moški","85 + let",125,1477,1351,116
"2020","Ženske","Pod 15 let",26,0,0,0
"2020","Ženske","15-19 let",3,0,0,0
"2020","Ženske","20-24 let",4,0,0,1
"2020","Ženske","25-29 let",11,3,0,0
"2020","Ženske","30-34 let",9,4,0,0
"2020","Ženske","35-39 let",17,9,1,3
"2020","Ženske","40-44 let",43,14,1,5
"2020","Ženske","45-49 let",45,36,0,14
"2020","Ženske","50-54 let",59,57,9,15
