"Umrli po starostnih skupinah, spolu in zakonskem stanu, Slovenija, letno"

"LETO","SPOL","STAROSTNE SKUPINE","Samski/a","Poroèen/a","Vdovec/Vdova","Razvezan/a"
"2010","Moški","Pod 15 let",37,0,0,0
"2010","Moški","15-19 let",19,0,0,0
"2010","Moški","20-24 let",52,0,0,0
"2010","Moški","25-29 let",47,3,0,0
"2010","Moški","30-34 let",63,14,1,3
"2010","Moški","35-39 let",64,20,0,3
"2010","Moški","40-44 let",98,55,1,15
"2010","Moški","45-49 let",129,105,1,41
"2010","Moški","50-54 let",161,232,6,77
"2010","Moški","55-59 let",205,422,19,134
"2010","Moški","60-64 let",163,493,45,127
"2010","Moški","65-69 let",112,611,71,99
"2010","Moški","70-74 let",127,866,181,103
"2010","Moški","75-79 let",106,1011,304,77
"2010","Moški","80-84 let",63,897,436,62
"2010","Moški","85 + let",54,658,568,31
"2010","Ženske","Pod 15 let",54,0,0,0
"2010","Ženske","15-19 let",8,0,0,0
"2010","Ženske","20-24 let",8,0,0,0
"2010","Ženske","25-29 let",6,2,0,1
"2010","Ženske","30-34 let",22,8,0,0
"2010","Ženske","35-39 let",23,15,0,1
"2010","Ženske","40-44 let",26,35,5,6
"2010","Ženske","45-49 let",26,70,8,16
"2010","Ženske","50-54 let",36,125,10,31
"2010","Ženske","55-59 let",45,177,37,42
"2010","Ženske","60-64 let",44,171,60,47
"2010","Ženske","65-69 let",40,238,134,68
"2010","Ženske","70-74 let",67,267,333,73
"2010","Ženske","75-79 let",120,343,795,114
"2010","Ženske","80-84 let",183,308,1385,132
"2010","Ženske","85 + let",427,201,2726,198
"2011","Moški","Pod 15 let",58,0,0,0
"2011","Moški","15-19 let",22,0,0,0
"2011","Moški","20-24 let",43,1,0,0
"2011","Moški","25-29 let",41,3,0,0
"2011","Moški","30-34 let",58,12,0,3
"2011","Moški","35-39 let",58,21,0,3
"2011","Moški","40-44 let",99,52,0,20
"2011","Moški","45-49 let",113,98,1,38
"2011","Moški","50-54 let",142,201,4,65
"2011","Moški","55-59 let",225,379,23,101
"2011","Moški","60-64 let",159,495,44,134
"2011","Moški","65-69 let",98,621,74,99
"2011","Moški","70-74 let",105,865,149,107
"2011","Moški","75-79 let",123,998,281,84
"2011","Moški","80-84 let",74,945,413,62
"2011","Moški","85 + let",48,701,623,49
"2011","Ženske","Pod 15 let",40,0,0,0
"2011","Ženske","15-19 let",5,0,0,0
"2011","Ženske","20-24 let",15,0,0,0
"2011","Ženske","25-29 let",8,1,0,1
"2011","Ženske","30-34 let",9,4,0,1
"2011","Ženske","35-39 let",21,12,0,4
"2011","Ženske","40-44 let",36,29,0,12
"2011","Ženske","45-49 let",36,60,10,23
"2011","Ženske","50-54 let",31,117,21,32
"2011","Ženske","55-59 let",45,164,39,46
"2011","Ženske","60-64 let",44,201,75,64
"2011","Ženske","65-69 let",48,230,142,61
"2011","Ženske","70-74 let",60,264,289,75
"2011","Ženske","75-79 let",127,363,723,98
"2011","Ženske","80-84 let",195,320,1262,149
"2011","Ženske","85 + let",458,230,2943,221
"2012","Moški","Pod 15 let",34,0,0,0
"2012","Moški","15-19 let",15,0,0,0
"2012","Moški","20-24 let",45,0,0,1
"2012","Moški","25-29 let",50,0,0,0
"2012","Moški","30-34 let",50,7,0,0
"2012","Moški","35-39 let",63,18,0,5
"2012","Moški","40-44 let",68,34,0,11
"2012","Moški","45-49 let",127,93,4,39
"2012","Moški","50-54 let",192,204,7,61
"2012","Moški","55-59 let",211,376,21,109
"2012","Moški","60-64 let",185,526,50,146
"2012","Moški","65-69 let",126,568,84,100
"2012","Moški","70-74 let",116,810,170,115
"2012","Moški","75-79 let",104,976,292,83
"2012","Moški","80-84 let",81,972,462,52
"2012","Moški","85 + let",62,752,688,47
"2012","Ženske","Pod 15 let",31,0,0,0
"2012","Ženske","15-19 let",10,0,0,0
"2012","Ženske","20-24 let",13,0,0,0
"2012","Ženske","25-29 let",10,2,0,0
"2012","Ženske","30-34 let",18,4,0,2
"2012","Ženske","35-39 let",21,8,0,2
"2012","Ženske","40-44 let",18,27,0,9
"2012","Ženske","45-49 let",29,59,5,19
"2012","Ženske","50-54 let",25,100,14,33
"2012","Ženske","55-59 let",45,195,45,62
"2012","Ženske","60-64 let",43,238,76,60
"2012","Ženske","65-69 let",45,227,122,67
"2012","Ženske","70-74 let",74,265,306,71
"2012","Ženske","75-79 let",120,371,708,111
"2012","Ženske","80-84 let",196,330,1397,163
"2012","Ženske","85 + let",466,279,3079,225
"2013","Moški","Pod 15 let",49,0,0,0
"2013","Moški","15-19 let",18,0,0,0
"2013","Moški","20-24 let",46,0,0,0
"2013","Moški","25-29 let",54,1,0,0
"2013","Moški","30-34 let",50,12,1,0
"2013","Moški","35-39 let",78,16,0,3
"2013","Moški","40-44 let",80,39,1,13
"2013","Moški","45-49 let",97,83,1,32
"2013","Moški","50-54 let",153,169,6,68
"2013","Moški","55-59 let",228,337,22,111
"2013","Moški","60-64 let",191,550,52,144
"2013","Moški","65-69 let",119,617,89,129
"2013","Moški","70-74 let",111,800,171,104
"2013","Moški","75-79 let",115,986,274,80
"2013","Moški","80-84 let",90,1039,468,62
"2013","Moški","85 + let",53,795,700,48
"2013","Ženske","Pod 15 let",41,0,0,0
"2013","Ženske","15-19 let",7,0,0,0
"2013","Ženske","20-24 let",11,1,0,0
"2013","Ženske","25-29 let",13,1,0,0
"2013","Ženske","30-34 let",15,6,0,1
"2013","Ženske","35-39 let",27,15,0,1
"2013","Ženske","40-44 let",21,27,0,9
"2013","Ženske","45-49 let",29,64,7,9
"2013","Ženske","50-54 let",26,89,16,28
"2013","Ženske","55-59 let",44,167,40,61
"2013","Ženske","60-64 let",47,231,75,62
"2013","Ženske","65-69 let",43,245,88,48
"2013","Ženske","70-74 let",77,289,285,64
"2013","Ženske","75-79 let",102,347,642,104
"2013","Ženske","80-84 let",188,337,1355,154
"2013","Ženske","85 + let",443,231,3290,256
"2014","Moški","Pod 15 let",33,0,0,0
"2014","Moški","15-19 let",17,0,0,0
"2014","Moški","20-24 let",25,0,0,0
"2014","Moški","25-29 let",36,1,0,0
"2014","Moški","30-34 let",55,8,0,3
"2014","Moški","35-39 let",74,14,0,6
"2014","Moški","40-44 let",70,30,0,8
"2014","Moški","45-49 let",101,72,0,25
"2014","Moški","50-54 let",152,162,7,42
"2014","Moški","55-59 let",202,293,19,97
"2014","Moški","60-64 let",233,508,36,149
"2014","Moški","65-69 let",135,553,78,110
"2014","Moški","70-74 let",120,831,121,114
"2014","Moški","75-79 let",80,919,264,83
"2014","Moški","80-84 let",63,1039,396,81
"2014","Moški","85 + let",61,891,726,65
"2014","Ženske","Pod 15 let",30,0,0,0
"2014","Ženske","15-19 let",4,0,0,0
"2014","Ženske","20-24 let",17,0,0,0
"2014","Ženske","25-29 let",10,0,0,0
"2014","Ženske","30-34 let",19,5,0,0
"2014","Ženske","35-39 let",17,14,0,4
"2014","Ženske","40-44 let",21,20,1,5
"2014","Ženske","45-49 let",28,52,0,23
"2014","Ženske","50-54 let",30,82,11,33
"2014","Ženske","55-59 let",50,144,28,42
"2014","Ženske","60-64 let",57,214,66,70
"2014","Ženske","65-69 let",51,187,125,61
"2014","Ženske","70-74 let",57,276,305,79
"2014","Ženske","75-79 let",95,320,610,87
"2014","Ženske","80-84 let",191,334,1275,133
"2014","Ženske","85 + let",455,277,3401,262
"2015","Moški","Pod 15 let",38,0,0,0
"2015","Moški","15-19 let",22,0,0,0
"2015","Moški","20-24 let",33,0,0,0
"2015","Moški","25-29 let",40,3,0,1
"2015","Moški","30-34 let",55,5,1,0
"2015","Moški","35-39 let",67,19,0,2
"2015","Moški","40-44 let",85,41,0,5
"2015","Moški","45-49 let",114,74,1,19
"2015","Moški","50-54 let",186,155,4,61
"2015","Moški","55-59 let",212,286,16,108
"2015","Moški","60-64 let",213,528,48,148
"2015","Moški","65-69 let",160,605,67,135
